Format Version,1.21,Take Name,Take 2020-08-25 04.42.30 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2020-08-25 04.42.30 PM,Total Frames in Take,27713,Total Exported Frames,27713,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5001,Unlabeled:5001,Unlabeled:5001
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E35701389"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,0.083089,0.003761,-0.069782,0.092886,0.244052,0.013630
1,0.008333,0.083091,0.003763,-0.069784,0.092888,0.244056,0.013625
2,0.016667,0.083088,0.003760,-0.069762,0.092889,0.244053,0.013628
3,0.025000,0.083091,0.003759,-0.069781,0.092889,0.244053,0.013624
4,0.033333,0.083090,0.003757,-0.069774,0.092892,0.244051,0.013621
5,0.041667,0.083088,0.003759,-0.069770,0.092889,0.244053,0.013624
6,0.050000,0.083090,0.003762,-0.069775,0.092889,0.244055,0.013626
7,0.058333,0.083090,0.003762,-0.069766,0.092888,0.244057,0.013624
8,0.066667,0.083089,0.003759,-0.069767,0.092886,0.244052,0.013627
9,0.075000,0.083090,0.003759,-0.069780,0.092888,0.244051,0.013623
10,0.083333,0.083089,0.003757,-0.069776,0.092887,0.244046,0.013638
11,0.091667,0.083089,0.003760,-0.069767,0.092888,0.244051,0.013632
12,0.100000,0.083090,0.003765,-0.069775,0.092888,0.244059,0.013627
13,0.108333,0.083091,0.003763,-0.069768,0.092890,0.244054,0.013630
14,0.116667,0.083088,0.003756,-0.069771,0.092888,0.244048,0.013630
15,0.125000,0.083088,0.003758,-0.069773,0.092887,0.244052,0.013621
16,0.133333,0.083089,0.003761,-0.069778,0.092889,0.244051,0.013632
17,0.141667,0.083090,0.003763,-0.069769,0.092888,0.244055,0.013628
18,0.150000,0.083091,0.003764,-0.069767,0.092887,0.244055,0.013626
19,0.158333,0.083090,0.003757,-0.069758,0.092887,0.244050,0.013625
20,0.166667,0.083088,0.003756,-0.069771,0.092888,0.244049,0.013623
21,0.175000,0.083091,0.003761,-0.069770,0.092888,0.244053,0.013625
22,0.183333,0.083091,0.003764,-0.069770,0.092889,0.244059,0.013621
23,0.191667,0.083090,0.003761,-0.069773,0.092888,0.244055,0.013626
24,0.200000,0.083088,0.003757,-0.069773,0.092887,0.244052,0.013617
25,0.208333,0.083088,0.003757,-0.069773,0.092887,0.244052,0.013617
