Format Version,1.21,Take Name,Take 2021-04-13 07.22.24 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-04-13 07.22.24 PM,Total Frames in Take,22555,Total Exported Frames,22555,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5001,Unlabeled:5001,Unlabeled:5001,Unlabeled:5002,Unlabeled:5002,Unlabeled:5002,Unlabeled:5003,Unlabeled:5003,Unlabeled:5003
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E3570138A","8392B20CF49E3570138A","8392B20CF49E3570138A","8392B20CF49E3570138B","8392B20CF49E3570138B","8392B20CF49E3570138B"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.039985,-0.001604,0.037882,0.078188,-0.052817,0.044394,0.086154,-0.026877,0.002545,0.030859,-0.061235,0.060470
1,0.008333,0.039983,-0.001605,0.037874,0.078194,-0.052819,0.044352,0.086157,-0.026877,0.002516,0.030860,-0.061237,0.060462
2,0.016667,0.039986,-0.001602,0.037858,0.078186,-0.052819,0.044397,0.086145,-0.026880,0.002568,0.030858,-0.061236,0.060474
3,0.025000,0.039985,-0.001603,0.037873,0.078191,-0.052816,0.044371,0.086149,-0.026879,0.002548,0.030872,-0.061240,0.060426
4,0.033333,0.039983,-0.001608,0.037884,0.078188,-0.052821,0.044385,0.086144,-0.026881,0.002577,0.030857,-0.061238,0.060486
5,0.041667,0.039988,-0.001606,0.037870,0.078190,-0.052818,0.044367,0.086153,-0.026880,0.002529,0.030878,-0.061239,0.060382
6,0.050000,0.039985,-0.001603,0.037874,0.078190,-0.052819,0.044378,0.086149,-0.026878,0.002552,0.030859,-0.061237,0.060476
7,0.058333,0.039985,-0.001602,0.037871,0.078194,-0.052820,0.044367,0.086149,-0.026880,0.002551,0.030853,-0.061226,0.060410
8,0.066667,0.039985,-0.001605,0.037874,0.078192,-0.052819,0.044383,0.086155,-0.026878,0.002524,0.030857,-0.061227,0.060376
9,0.075000,0.039991,-0.001599,0.037828,0.078189,-0.052820,0.044383,0.086148,-0.026881,0.002552,0.030863,-0.061240,0.060473
10,0.083333,0.039985,-0.001605,0.037872,0.078191,-0.052818,0.044372,0.086151,-0.026880,0.002546,0.030857,-0.061237,0.060486
